id,vote_type_id,creation_timestrmpz
130344573,15,2017-01-16 00:00:00+00:00
240364058,11,2021-10-17 00:00:00+00:00
207687112,8,2020-04-24 00:00:00+00:00
206704299,9,2020-04-10 00:00:00+00:00
219623878,15,2020-10-23 00:00:00+00:00
8190760,8,2010-06-18 00:00:00+00:00
57145598,15,2013-11-12 00:00:00+00:00
17071543,15,2011-07-10 00:00:00+00:00
125112561,15,2016-10-27 00:00:00+00:00
194492678,8,2019-09-19 00:00:00+00:00
233131608,11,2021-06-07 00:00:00+00:00
93460936,12,2015-07-17 00:00:00+00:00
246201669,15,2022-02-03 00:00:00+00:00
228749769,15,2021-03-24 00:00:00+00:00
65156737,15,2014-03-25 00:00:00+00:00
36651892,8,2012-11-18 00:00:00+00:00
240148226,12,2021-10-13 00:00:00+00:00
239554692,15,2021-10-02 00:00:00+00:00
135960002,11,2017-04-04 00:00:00+00:00
137559411,8,2017-04-27 00:00:00+00:00
46780656,8,2013-05-12 00:00:00+00:00
200054888,12,2019-12-19 00:00:00+00:00
182204801,8,2019-03-05 00:00:00+00:00
234522250,8,2021-07-01 00:00:00+00:00
234668353,15,2021-07-04 00:00:00+00:00
90643290,8,2015-06-05 00:00:00+00:00
181865878,15,2019-02-27 00:00:00+00:00
57369133,11,2013-11-15 00:00:00+00:00
24337022,15,2012-02-14 00:00:00+00:00
22950450,15,2012-01-09 00:00:00+00:00
37132658,15,2012-11-27 00:00:00+00:00
58891352,15,2013-12-12 00:00:00+00:00
187277428,11,2019-05-21 00:00:00+00:00
155986136,15,2018-01-28 00:00:00+00:00
73142359,15,2014-08-11 00:00:00+00:00
227282203,15,2021-03-01 00:00:00+00:00
228549862,8,2021-03-21 00:00:00+00:00
233480622,8,2021-06-13 00:00:00+00:00
167780511,11,2018-07-22 00:00:00+00:00
97773765,15,2015-09-21 00:00:00+00:00
38339631,9,2012-12-19 00:00:00+00:00
32068800,15,2012-08-17 00:00:00+00:00
87290012,15,2015-04-17 00:00:00+00:00
104555266,15,2016-01-04 00:00:00+00:00
45242936,15,2013-04-16 00:00:00+00:00
23903993,15,2012-02-03 00:00:00+00:00
149113798,11,2017-10-13 00:00:00+00:00
226325435,8,2021-02-13 00:00:00+00:00
14883902,8,2011-05-10 00:00:00+00:00
